timestamps,TP9,FP1,FP2,TP10,n/a,n/a
1509076511.249,847.439,821.188,846.000,852.031,0.000,0.000
1509076511.249,888.769,821.805,852.922,893.156,0.000,0.000
1509076511.249,930.853,827.699,859.639,926.672,0.000,0.000
1509076511.249,930.305,832.497,862.449,920.572,0.000,0.000
1509076511.249,892.128,830.647,859.502,888.015,0.000,0.000
1509076511.269,840.379,822.559,850.729,842.641,0.000,0.000
1509076511.269,789.042,816.733,837.158,798.158,0.000,0.000
1509076511.269,765.875,811.524,828.590,784.724,0.000,0.000
1509076511.269,770.879,816.116,831.675,787.192,0.000,0.000
1509076511.269,799.803,817.418,837.432,805.972,0.000,0.000
1509076511.269,830.784,814.471,846.754,836.404,0.000,0.000
1509076511.269,879.859,817.418,853.882,879.927,0.000,0.000
1509076511.269,924.205,823.792,859.571,913.170,0.000,0.000
1509076511.269,927.015,827.288,861.147,909.057,0.000,0.000
1509076511.269,886.781,824.478,857.103,880.956,0.000,0.000
1509076511.283,836.267,825.849,845.794,832.977,0.000,0.000
1509076511.283,787.192,822.970,836.884,795.211,0.000,0.000
1509076511.283,770.673,811.112,829.550,790.961,0.000,0.000
1509076511.283,773.689,805.286,830.715,793.429,0.000,0.000
1509076511.283,800.009,811.318,834.896,805.286,0.000,0.000
1509076511.283,836.335,816.733,842.915,841.202,0.000,0.000
1509076511.283,884.383,823.450,851.963,885.685,0.000,0.000
1509076511.301,925.507,830.989,861.010,917.008,0.000,0.000
1509076511.301,925.850,834.142,864.917,914.883,0.000,0.000
1509076511.301,889.797,831.469,858.954,887.947,0.000,0.000
1509076511.301,839.146,827.219,847.233,830.715,0.000,0.000
1509076511.301,784.998,819.611,838.871,778.281,0.000,0.000
1509076511.301,767.315,817.829,838.186,767.726,0.000,0.000
1509076511.301,787.671,819.200,835.787,788.768,0.000,0.000
1509076511.301,809.536,822.285,838.323,810.084,0.000,0.000
1509076511.301,831.743,821.668,846.000,848.604,0.000,0.000
1509076511.318,875.678,818.104,854.979,884.314,0.000,0.000
1509076511.318,921.258,822.833,862.998,914.198,0.000,0.000
1509076511.318,928.043,829.618,863.409,922.628,0.000,0.000
1509076511.318,889.729,830.030,861.353,888.015,0.000,0.000
1509076511.318,843.121,820.914,847.028,838.734,0.000,0.000
1509076511.318,794.937,817.213,833.936,793.566,0.000,0.000
1509076511.318,767.520,816.527,831.606,779.652,0.000,0.000
1509076511.318,767.041,815.910,836.678,780.612,0.000,0.000
1509076511.334,802.408,815.979,838.323,802.613,0.000,0.000
1509076511.334,837.569,820.777,846.000,845.726,0.000,0.000
1509076511.334,883.834,824.546,851.620,892.882,0.000,0.000
1509076511.334,919.818,826.877,859.776,918.653,0.000,0.000
1509076511.334,923.245,827.562,865.191,912.690,0.000,0.000
1509076511.334,880.956,824.615,861.147,877.049,0.000,0.000
1509076511.334,835.581,820.777,851.277,832.840,0.000,0.000
1509076511.334,784.861,817.213,841.339,787.603,0.000,0.000
1509076511.351,767.178,816.459,836.610,779.926,0.000,0.000
1509076511.351,779.241,818.926,834.622,792.881,0.000,0.000
1509076511.351,813.443,822.970,837.706,818.583,0.000,0.000
1509076511.351,842.093,821.393,845.931,849.906,0.000,0.000
1509076511.351,885.548,821.668,853.950,888.221,0.000,0.000
1509076511.351,921.326,825.163,865.671,907.961,0.000,0.000
1509076511.351,932.293,828.248,865.671,912.690,0.000,0.000
1509076511.351,893.087,822.901,862.175,888.426,0.000,0.000
1509076511.351,837.295,814.402,851.552,835.239,0.000,0.000
1509076511.366,787.260,809.673,839.488,789.933,0.000,0.000
1509076511.366,772.729,809.604,834.211,779.789,0.000,0.000
1509076511.366,787.055,808.165,832.086,798.501,0.000,0.000
1509076511.366,803.299,810.633,837.569,812.620,0.000,0.000
1509076511.366,836.335,814.334,844.560,850.660,0.000,0.000
1509076511.366,880.339,822.490,855.527,886.781,0.000,0.000
1509076511.366,930.305,827.768,863.341,921.052,0.000,0.000
1509076511.366,932.841,829.893,863.820,922.080,0.000,0.000
1509076511.384,892.813,826.260,856.075,891.442,0.000,0.000
1509076511.384,841.613,822.696,842.847,833.114,0.000,0.000
1509076511.384,795.348,815.430,829.824,792.058,0.000,0.000
1509076511.384,768.206,810.153,828.385,779.721,0.000,0.000
1509076511.384,768.960,816.459,831.812,781.023,0.000,0.000
1509076511.384,803.573,828.179,833.936,805.355,0.000,0.000
1509076511.384,840.859,830.441,839.146,843.601,0.000,0.000
1509076511.384,884.520,835.581,848.810,874.170,0.000,0.000
